N,P,K,temperature,humidity,ph,rainfall,label
107.22,37.68,57.75,20.72,83.88,6.51,238.53,rice
99.89,58.08,32.97,27.18,86.41,5.86,277.42,rice
102.31,34.94,55.31,20.23,80.11,6.78,150.71,rice
106.84,31.35,57.08,21.93,82.09,6.02,278.01,rice
87.53,43.05,59.39,21.14,85.25,6.78,242.87,rice
94.12,59.77,54.06,26.21,81.64,5.95,174.41,rice
68.39,56.75,53.38,21.59,81.66,6.39,265.94,rice
66.87,52.46,49.27,27.29,88.36,6.1,278.32,rice
100.1,56.72,53.37,25.25,89.89,5.91,188.14,rice
88.27,56.8,34.04,20.29,85.56,6.83,287.82,rice
93.91,45.57,46.08,20.04,88.39,5.78,218.17,rice
105.9,39.48,45.43,20.41,89.9,5.63,240.51,rice
98.08,53.16,55.73,24.85,81.42,6.01,297.7,rice
93.21,49.85,43.88,26.41,84.48,6.58,204.23,rice
93.55,41.21,41.55,21.91,83.93,6.71,271.97,rice
78.24,32.83,49.19,26.8,80.8,7.0,197.76,rice
61.85,52.4,37.99,20.46,87.55,5.94,269.88,rice
86.2,37.87,34.19,26.41,84.34,6.11,240.11,rice
72.88,58.1,44.34,27.42,84.69,5.71,182.45,rice
84.51,37.23,42.51,26.18,81.51,6.36,212.1,rice
111.2,33.68,36.98,25.58,81.81,7.0,197.65,rice
74.04,54.93,41.03,26.7,89.07,6.55,161.72,rice
63.5,34.6,40.99,20.32,80.45,6.39,154.48,rice
76.88,35.38,39.82,21.61,82.33,6.09,201.97,rice
77.62,47.98,41.38,21.0,82.92,6.87,152.86,rice
99.71,56.24,50.57,24.04,84.9,6.25,174.82,rice
93.42,35.89,38.91,25.96,85.86,5.7,258.78,rice
107.03,39.31,58.47,25.04,84.93,6.05,256.21,rice
99.86,53.32,57.49,26.81,80.84,5.6,260.79,rice
84.38,59.15,44.43,21.24,82.44,5.8,197.57,rice
108.84,45.02,39.85,25.88,88.44,5.53,283.5,rice
70.02,34.32,46.06,21.54,86.38,6.18,239.07,rice
61.36,30.42,55.46,22.17,86.49,6.45,168.9,rice
65.4,36.89,49.58,25.68,86.7,6.01,171.56,rice
103.34,33.95,54.13,27.84,87.63,6.13,253.96,rice
87.71,50.33,45.98,24.89,80.58,6.94,175.94,rice
69.68,33.65,48.99,20.44,83.67,6.63,226.09,rice
90.06,45.19,38.64,24.93,85.4,6.31,298.77,rice
69.14,50.83,52.05,20.34,83.38,5.93,150.6,rice
101.78,47.43,36.07,27.07,88.44,6.85,152.49,rice
86.77,35.99,50.84,25.68,84.83,5.85,298.96,rice
82.86,54.12,55.82,21.39,87.69,5.99,237.7,rice
78.09,51.46,33.96,20.73,88.52,6.86,169.04,rice
97.82,52.17,48.43,21.47,85.05,6.29,284.6,rice
81.71,33.93,32.85,27.84,89.1,6.61,282.06,rice
65.26,33.71,51.77,23.67,85.87,6.39,230.43,rice
67.08,57.83,32.53,26.27,88.5,6.48,243.27,rice
117.71,41.93,58.08,25.09,83.41,5.95,190.98,rice
114.51,39.03,34.12,24.58,84.99,5.86,157.58,rice
101.98,44.66,58.77,21.16,85.31,5.98,239.19,rice
75.95,49.89,54.03,27.57,81.05,5.73,194.21,rice
118.15,58.67,47.81,22.41,83.99,6.81,249.54,rice
106.73,38.59,53.48,24.62,89.17,5.92,275.44,rice
103.01,57.74,53.85,25.6,86.31,6.34,152.72,rice
86.96,30.75,58.38,25.19,81.78,6.69,239.36,rice
76.33,46.66,37.6,27.52,83.39,6.68,184.69,rice
65.78,49.02,47.7,21.19,81.92,6.16,281.08,rice
114.16,33.18,32.85,24.07,80.25,6.21,188.05,rice
87.35,34.21,48.48,23.23,89.27,6.99,241.62,rice
72.14,42.57,35.14,23.79,84.48,6.51,233.03,rice
78.36,58.99,46.95,20.95,83.08,6.72,209.42,rice
94.75,47.88,47.17,21.07,85.98,6.85,251.64,rice
70.61,57.99,43.98,22.22,80.07,6.68,258.87,rice
111.4,54.13,45.68,22.44,82.78,5.78,235.04,rice
105.51,44.02,52.92,23.42,87.03,6.34,263.76,rice
103.17,53.54,53.98,24.89,86.34,5.65,297.51,rice
85.93,30.54,44.76,25.08,89.82,6.48,212.89,rice
97.64,33.27,47.99,23.29,86.2,6.93,227.19,rice
60.75,56.1,37.33,24.8,67.41,5.97,119.93,maize
107.76,53.04,57.38,24.61,66.64,5.6,96.81,maize
91.21,43.95,57.72,27.94,55.14,5.81,113.39,maize
84.48,43.77,55.3,26.53,74.67,5.63,114.52,maize
65.64,68.57,59.35,18.32,63.27,5.89,107.49,maize
113.38,54.46,52.35,18.59,76.97,6.64,87.66,maize
83.7,68.6,52.94,25.22,64.33,7.32,64.87,maize
100.95,44.91,52.88,23.83,69.13,6.57,60.95,maize
68.96,56.63,44.42,21.12,61.76,6.75,88.63,maize
117.69,46.23,43.69,23.02,59.01,5.9,89.66,maize
70.71,47.6,37.21,27.09,74.37,7.1,84.44,maize
71.97,40.9,49.34,27.92,67.41,6.74,94.09,maize
111.54,43.57,38.68,24.73,68.41,7.23,93.13,maize
114.75,67.51,37.73,22.62,79.14,7.4,110.2,maize
72.73,49.65,47.58,21.25,79.09,6.2,66.52,maize
88.19,58.24,42.3,24.26,76.39,5.68,73.51,maize
104.01,53.95,36.57,21.78,59.69,5.95,107.58,maize
112.7,52.01,54.48,24.77,69.86,6.38,110.87,maize
82.74,55.96,55.82,26.12,76.95,7.39,119.69,maize
91.02,45.62,35.03,18.79,64.36,6.26,112.37,maize
104.5,69.66,30.23,18.01,57.53,7.04,113.39,maize
103.87,64.55,40.08,20.55,75.27,6.58,78.86,maize
106.98,62.25,53.93,28.73,67.04,5.87,84.1,maize
94.2,54.06,55.18,25.76,69.11,6.14,76.09,maize
66.28,44.59,34.15,20.06,79.55,6.81,96.38,maize
114.24,67.62,53.23,28.68,70.18,6.85,116.33,maize
111.93,50.24,33.47,23.64,65.62,6.37,80.68,maize
107.89,41.5,41.7,23.71,64.25,5.96,93.42,maize
65.99,50.27,59.96,29.23,65.44,6.94,77.78,maize
72.26,63.83,35.78,18.71,57.96,5.84,70.19,maize
104.62,58.68,34.62,20.58,74.87,7.37,71.71,maize
61.39,62.53,42.68,25.03,75.94,5.88,63.48,maize
118.75,63.81,48.59,20.35,62.11,5.71,116.96,maize
82.63,46.36,57.99,26.15,62.59,6.5,84.17,maize
103.16,67.71,59.42,20.57,76.86,6.54,110.05,maize
113.25,53.14,32.09,19.19,55.6,6.52,100.88,maize
83.68,59.17,34.14,20.48,68.01,6.37,71.52,maize
79.15,40.07,53.72,23.07,66.59,7.49,70.53,maize
96.52,69.8,38.12,20.11,72.25,6.47,108.72,maize
94.86,48.43,56.55,19.62,59.08,6.46,75.88,maize
84.55,41.86,49.9,28.32,71.71,6.34,114.8,maize
96.11,53.75,33.36,21.84,64.42,5.63,68.4,maize
116.12,43.87,54.98,22.33,70.47,6.69,100.66,maize
88.06,44.57,35.29,18.66,56.0,5.96,108.87,maize
71.8,58.97,42.7,22.29,66.54,6.78,74.12,maize
82.63,51.79,46.57,21.18,68.06,5.6,76.57,maize
83.65,67.66,45.02,25.33,60.36,7.46,117.87,maize
67.87,49.57,50.58,20.46,58.49,6.44,75.88,maize
69.77,61.79,49.58,28.66,59.71,7.29,85.8,maize
101.07,53.83,59.76,29.16,63.6,6.45,85.95,maize
80.37,59.8,59.98,19.2,57.42,5.62,75.18,maize
117.29,57.99,45.49,19.29,78.68,7.14,106.55,maize
74.62,54.18,32.86,19.38,65.12,6.8,106.31,maize
65.94,68.5,51.84,25.43,75.22,7.06,82.7,maize
105.21,50.28,59.3,19.46,79.36,6.36,110.11,maize
112.86,45.32,39.55,28.23,57.02,6.78,72.78,maize
76.69,60.34,43.84,27.05,71.29,7.21,60.26,maize
72.13,65.38,42.74,27.84,76.79,6.76,94.27,maize
71.15,41.21,31.54,24.31,70.86,6.2,119.64,maize
91.32,53.49,50.17,29.96,65.73,6.83,62.32,maize
88.1,66.77,40.6,18.53,65.78,6.84,72.48,maize
75.57,62.49,53.62,22.82,55.9,7.42,91.13,maize
62.71,69.75,54.96,21.89,68.37,6.24,108.6,maize
88.89,55.94,54.64,29.38,79.84,6.35,65.34,maize
117.56,59.8,42.5,24.92,78.97,7.12,83.71,maize
99.15,49.07,39.65,27.67,56.01,6.51,104.82,maize
89.73,68.43,52.46,20.04,72.64,6.97,82.29,maize
66.64,50.99,54.04,29.74,62.54,6.42,71.33,maize
75.15,62.16,44.74,23.98,77.57,5.93,71.73,maize
77.69,52.09,56.79,23.92,56.13,6.99,84.6,maize
105.89,56.85,34.32,29.65,78.4,5.76,88.77,maize
112.6,61.59,56.37,22.57,75.94,5.9,111.71,maize
114.1,55.27,32.88,22.77,57.94,6.75,98.54,maize
119.07,67.21,34.61,25.02,56.5,6.99,101.42,maize
118.94,52.58,46.02,19.54,75.87,7.29,118.98,maize
117.18,59.41,32.03,21.85,58.89,6.05,84.71,maize
64.31,50.27,31.58,20.32,68.37,5.72,84.2,maize
68.27,52.24,30.02,19.24,77.89,7.41,115.4,maize
78.27,53.2,43.09,28.39,69.19,5.81,74.75,maize
93.17,43.77,53.24,25.07,64.93,5.9,103.79,maize
65.82,42.75,31.05,22.3,66.13,6.08,105.27,maize
110.75,60.02,49.57,22.9,56.58,6.56,65.87,maize
97.01,59.67,54.69,23.18,79.22,7.27,88.09,maize
92.54,59.89,35.04,25.6,62.77,7.02,72.03,maize
69.92,40.59,34.41,29.12,59.73,6.92,71.12,maize
75.2,49.8,55.82,29.19,62.15,5.85,87.83,maize
69.62,45.93,54.69,22.7,79.11,6.22,77.37,maize
111.12,63.34,46.17,21.95,57.36,6.46,107.76,maize
95.05,65.82,54.58,23.41,76.68,5.79,114.46,maize
104.11,47.4,32.78,24.82,72.7,6.05,108.16,maize
77.76,60.04,41.83,23.54,75.75,6.12,75.96,maize
82.28,43.88,52.13,25.91,79.4,5.75,76.45,maize
84.29,48.25,37.72,24.65,76.05,6.6,75.28,maize
105.6,44.16,52.57,21.85,78.58,6.91,68.1,maize
106.34,48.51,45.13,22.15,58.17,5.64,116.63,maize
72.41,60.24,52.51,22.54,74.89,6.46,84.12,maize
116.49,67.31,43.94,19.14,68.64,7.06,73.48,maize
67.24,46.08,41.04,19.99,68.59,7.0,110.8,maize
113.77,56.26,36.58,26.68,77.47,7.13,83.95,maize
66.02,61.04,36.25,22.67,79.3,6.4,62.11,maize
75.87,68.59,52.54,20.57,72.62,7.14,69.72,maize
110.79,58.3,33.57,24.75,67.07,5.98,98.36,maize
70.77,47.65,32.58,27.07,66.41,6.22,106.97,maize
84.81,58.76,35.29,21.09,64.66,5.85,72.66,maize
86.99,49.61,35.26,27.92,64.04,6.43,115.04,maize
74.72,69.28,54.69,29.13,64.79,6.28,111.06,maize
102.61,51.99,41.96,25.17,57.24,5.98,110.9,maize
111.08,60.56,59.71,26.03,56.94,7.0,73.66,maize
112.47,40.7,34.12,18.63,74.5,6.13,63.03,maize
80.36,52.0,49.61,29.35,66.15,6.05,112.05,maize
91.85,66.25,43.46,22.71,78.27,5.76,78.35,maize
74.9,58.31,41.79,29.09,70.31,6.38,97.13,maize
74.69,53.32,56.25,24.95,55.88,6.11,105.6,maize
69.68,68.08,59.27,18.06,58.94,6.24,67.7,maize
116.4,65.62,56.19,18.46,60.15,5.97,106.85,maize
113.28,49.67,35.77,26.17,79.39,7.03,116.31,maize
106.64,56.34,36.62,24.75,60.47,7.36,103.7,maize
91.06,54.69,49.68,18.32,67.89,6.5,86.47,maize
89.44,58.97,38.67,26.92,78.4,6.79,112.6,maize
91.78,50.02,52.04,28.23,79.43,7.23,91.65,maize
42.34,64.41,59.76,17.85,20.28,6.34,86.84,chickpea
44.62,64.94,52.01,22.88,17.71,5.88,95.65,chickpea
42.48,45.4,59.09,21.32,19.5,6.18,93.89,chickpea
28.64,67.74,54.39,24.29,19.95,6.91,100.16,chickpea
23.54,66.99,48.98,24.81,26.31,5.91,96.26,chickpea
27.15,67.3,41.84,15.42,17.78,5.69,71.13,chickpea
35.09,42.96,54.09,19.45,26.51,7.28,85.01,chickpea
35.16,57.87,68.46,20.47,19.96,7.03,73.38,chickpea
37.48,56.36,40.74,16.47,18.59,5.9,74.84,chickpea
31.85,43.47,57.57,18.36,21.04,6.08,101.94,chickpea
43.61,48.89,65.76,24.88,19.85,7.44,90.69,chickpea
47.39,57.64,64.42,15.16,17.6,6.92,103.86,chickpea
27.4,69.72,71.07,19.53,21.04,6.72,78.76,chickpea
42.1,49.48,72.42,23.43,16.13,6.12,84.18,chickpea
40.34,73.19,68.47,18.24,18.93,6.1,81.92,chickpea
35.69,61.83,44.11,19.8,21.92,5.58,64.83,chickpea
25.66,70.42,59.0,24.78,19.79,6.96,70.65,chickpea
43.86,58.9,64.14,19.75,25.53,5.59,83.74,chickpea
48.82,59.97,49.82,16.31,17.59,5.51,63.03,chickpea
41.66,64.79,41.7,15.52,27.58,6.96,101.92,chickpea
47.54,77.12,48.94,24.45,24.99,7.4,65.57,chickpea
49.53,59.67,58.2,17.66,27.55,7.01,68.91,chickpea
30.56,61.15,56.56,20.04,25.73,6.44,94.44,chickpea
39.15,64.08,47.07,15.91,15.99,6.47,64.36,chickpea
34.22,69.5,72.98,19.24,21.37,6.37,100.51,chickpea
49.6,42.87,77.03,24.3,16.38,6.15,92.66,chickpea
22.81,60.63,48.05,20.02,25.46,6.54,63.09,chickpea
32.37,59.26,77.18,24.71,22.18,6.36,91.13,chickpea
46.27,76.87,40.71,17.59,17.69,6.7,88.42,chickpea
28.52,59.74,77.0,20.05,27.01,7.3,94.08,chickpea
43.63,58.73,78.08,23.6,15.61,7.49,97.27,chickpea
31.48,78.49,40.48,19.48,21.89,5.66,92.33,chickpea
49.4,58.02,70.52,17.79,24.09,6.27,86.38,chickpea
46.51,47.24,78.81,23.55,14.82,5.86,74.51,chickpea
29.04,48.68,76.24,18.9,22.37,6.2,91.38,chickpea
43.11,43.81,78.83,20.31,25.42,6.07,103.06,chickpea
30.11,40.02,62.01,24.77,14.95,5.85,86.44,chickpea
38.19,57.28,43.13,16.86,21.17,7.03,89.9,chickpea
39.75,70.77,73.99,18.01,17.62,6.49,79.67,chickpea
44.89,69.34,64.55,15.31,23.28,7.34,94.03,chickpea
20.73,41.29,64.59,18.92,15.66,5.57,104.9,chickpea
26.6,62.8,56.69,17.0,27.12,5.63,67.22,chickpea
41.36,46.17,62.87,21.8,26.53,6.31,69.11,chickpea
36.91,77.64,46.14,16.81,16.6,5.66,84.27,chickpea
34.87,46.69,69.59,21.75,18.53,6.03,81.66,chickpea
21.66,65.07,43.0,17.63,22.23,7.47,85.72,chickpea
30.45,53.05,69.19,18.55,24.05,5.92,62.21,chickpea
45.95,65.66,73.96,18.49,20.2,5.9,78.19,chickpea
20.93,56.49,58.9,22.17,16.19,6.65,86.23,chickpea
31.89,70.39,60.39,19.67,15.46,6.5,86.33,chickpea
48.35,49.23,52.49,18.61,28.0,6.66,89.58,chickpea
21.53,76.23,78.78,23.53,20.37,6.25,92.41,chickpea
42.49,60.01,69.32,20.72,26.22,7.15,88.87,chickpea
27.73,70.24,54.76,17.14,20.75,5.78,95.56,chickpea
46.0,73.99,46.99,24.0,26.91,6.36,88.11,chickpea
42.38,79.95,48.78,18.43,15.23,6.88,84.19,chickpea
46.57,48.96,58.56,15.39,15.6,7.24,87.28,chickpea
26.48,51.48,77.7,19.95,27.01,6.24,64.55,chickpea
35.94,50.02,69.37,16.24,27.26,6.64,72.29,chickpea
43.38,50.51,48.61,17.38,18.41,5.64,83.73,chickpea
27.37,63.3,74.38,22.47,18.97,5.84,99.28,chickpea
26.92,79.74,55.13,16.31,20.33,5.64,90.56,chickpea
20.82,79.61,74.07,23.07,19.83,6.96,64.07,chickpea
48.76,61.07,49.67,24.37,16.66,6.08,86.65,chickpea
41.3,65.56,64.75,21.07,26.58,6.95,69.98,chickpea
39.07,74.4,77.07,22.1,17.55,5.63,93.03,chickpea
42.32,77.32,50.32,22.14,23.87,7.23,97.23,chickpea
35.95,48.15,67.72,24.93,14.94,7.17,86.71,chickpea
34.28,61.14,79.49,18.42,14.54,5.68,86.61,chickpea
33.49,73.31,46.02,16.63,23.15,5.55,75.24,chickpea
39.21,52.13,43.54,20.19,18.75,5.61,80.08,chickpea
26.05,57.59,66.97,20.33,23.18,7.21,98.88,chickpea
46.64,79.42,53.59,16.78,15.32,5.97,92.55,chickpea
44.35,79.4,42.85,21.13,27.3,6.6,83.39,chickpea
30.49,76.24,59.01,15.14,24.48,6.35,76.57,chickpea
37.36,71.94,70.15,24.28,26.27,7.09,62.27,chickpea
24.23,50.77,51.4,17.65,15.91,6.48,66.44,chickpea
49.17,52.83,53.4,15.4,18.48,6.5,68.69,chickpea
47.09,61.89,73.83,16.08,19.16,7.48,76.8,chickpea
47.66,62.43,60.8,17.4,21.52,5.8,102.49,chickpea
29.96,60.22,73.71,17.74,18.16,7.16,82.73,chickpea
25.07,65.47,57.86,15.33,14.85,5.6,70.57,chickpea
26.35,56.33,78.12,17.79,19.16,6.46,64.76,chickpea
22.7,69.97,66.03,16.93,17.56,7.27,75.22,chickpea
23.6,53.34,44.64,18.79,19.4,6.83,96.71,chickpea
22.14,53.23,75.4,18.85,16.76,6.87,77.25,chickpea
49.69,45.09,59.57,18.39,17.67,6.03,94.76,chickpea
22.22,47.55,45.67,18.28,22.78,6.34,96.12,chickpea
23.98,74.02,46.11,15.9,19.43,6.23,64.99,chickpea
44.82,57.85,67.5,15.25,18.84,6.54,87.39,chickpea
37.41,49.11,41.89,17.02,21.47,6.42,103.16,chickpea
43.23,70.37,51.46,22.57,24.81,6.15,78.1,chickpea
38.93,62.16,45.59,24.91,19.3,6.11,62.29,chickpea
46.47,40.85,57.64,24.29,22.23,6.0,101.55,chickpea
39.15,52.65,56.57,20.04,27.53,6.23,99.76,chickpea
35.66,47.08,60.88,20.32,21.31,5.8,83.5,chickpea
41.38,66.23,51.19,18.15,26.74,7.24,84.85,chickpea
33.42,51.0,41.28,22.74,25.11,6.7,69.53,chickpea
30.38,42.6,64.58,22.65,14.82,5.77,96.88,chickpea
34.03,42.2,54.95,23.44,20.01,6.89,82.44,chickpea
25.09,63.27,66.05,23.96,23.78,7.2,61.52,chickpea
43.9,40.87,44.35,19.34,27.81,5.98,90.74,chickpea
27.82,73.95,40.55,22.67,20.42,5.8,102.77,chickpea
24.61,46.22,49.93,23.06,15.3,5.52,97.31,chickpea
27.39,64.26,58.26,18.08,21.87,5.59,72.47,chickpea
45.26,57.79,55.76,24.29,15.77,7.02,62.4,chickpea
29.91,57.71,72.41,15.94,24.52,7.47,102.32,chickpea
40.58,42.87,55.11,24.94,21.11,5.59,102.17,chickpea
45.69,72.11,61.22,22.7,24.13,7.0,83.96,chickpea
22.33,75.72,63.74,15.93,26.17,5.64,88.9,chickpea
42.95,40.44,40.87,21.56,22.81,6.68,80.82,chickpea
29.23,47.14,60.61,15.34,22.57,7.01,78.89,chickpea
26.5,76.16,53.79,22.7,24.56,6.22,65.38,chickpea
40.67,61.98,56.85,22.99,25.79,5.52,64.35,chickpea
47.29,46.0,44.01,21.02,26.17,6.69,70.47,chickpea
28.85,48.11,71.31,23.57,14.51,7.48,97.65,chickpea
37.07,66.4,77.7,15.98,21.79,6.02,66.56,chickpea
28.7,68.99,40.89,17.76,17.03,5.88,70.2,chickpea
36.63,63.98,64.05,19.14,26.04,5.75,84.69,chickpea
38.66,78.13,70.55,15.42,23.08,6.61,69.68,chickpea
18.26,71.5,28.06,16.94,36.58,5.74,114.91,kidneybeans
26.27,72.8,33.38,16.12,31.88,6.0,98.15,kidneybeans
22.36,67.25,17.01,21.6,24.9,6.0,115.96,kidneybeans
27.52,75.89,21.32,18.95,34.91,6.18,85.0,kidneybeans
33.24,58.73,16.45,21.58,21.69,5.79,75.74,kidneybeans
18.02,76.45,33.9,17.66,35.49,5.79,97.81,kidneybeans
33.27,71.88,23.91,15.29,31.8,6.31,87.28,kidneybeans
33.05,73.96,28.51,26.3,22.22,5.69,110.1,kidneybeans
31.58,69.94,31.82,16.3,21.59,6.53,113.97,kidneybeans
27.63,75.39,34.82,16.52,35.02,6.92,93.63,kidneybeans
27.4,79.79,18.24,16.76,25.86,6.14,118.57,kidneybeans
27.78,62.6,30.99,26.78,37.79,6.85,97.65,kidneybeans
28.81,74.42,32.75,22.41,35.24,5.65,83.55,kidneybeans
15.33,72.34,15.98,22.32,33.96,5.56,94.45,kidneybeans
34.16,63.59,30.08,26.84,25.57,6.58,71.87,kidneybeans
26.71,77.81,22.09,16.06,34.18,6.64,110.2,kidneybeans
30.63,61.83,27.97,26.69,38.96,6.76,75.07,kidneybeans
22.55,66.96,25.28,17.45,21.83,5.59,85.44,kidneybeans
15.25,53.18,20.19,22.48,26.52,6.67,98.27,kidneybeans
25.19,56.77,17.7,20.04,24.69,6.06,72.15,kidneybeans
25.14,75.22,17.34,19.61,27.87,5.96,73.97,kidneybeans
23.74,61.9,17.07,26.17,34.85,5.76,104.81,kidneybeans
21.79,61.82,27.76,16.79,29.48,6.99,73.59,kidneybeans
20.0,57.38,22.03,26.96,31.41,5.6,93.85,kidneybeans
25.55,64.75,19.33,19.55,26.28,6.74,86.93,kidneybeans
22.51,74.17,28.84,22.79,22.83,6.46,81.4,kidneybeans
34.4,76.85,28.74,26.61,25.34,6.6,79.44,kidneybeans
18.46,52.1,25.78,15.69,37.19,6.57,108.17,kidneybeans
21.39,67.24,33.7,26.07,32.05,6.79,117.58,kidneybeans
20.88,64.02,22.71,21.81,27.56,5.78,77.01,kidneybeans
25.87,68.43,31.72,23.45,35.8,5.5,117.98,kidneybeans
24.99,63.42,16.5,16.79,21.29,6.4,99.74,kidneybeans
27.87,61.96,29.8,21.4,25.08,6.03,102.08,kidneybeans
34.0,64.16,34.77,23.08,24.6,5.69,105.5,kidneybeans
20.7,67.46,31.93,20.47,39.71,5.78,105.21,kidneybeans
28.86,65.03,26.59,16.86,34.12,6.0,110.99,kidneybeans
15.5,64.16,27.54,17.93,32.36,5.61,94.17,kidneybeans
20.25,74.54,22.07,25.25,20.1,5.59,96.67,kidneybeans
24.27,72.37,28.59,15.41,23.69,6.87,86.19,kidneybeans
15.62,60.24,30.41,23.51,32.71,5.97,75.26,kidneybeans
27.35,74.02,34.96,26.99,27.59,6.97,103.23,kidneybeans
28.57,75.61,24.85,15.09,38.49,6.95,71.68,kidneybeans
29.93,54.6,16.23,16.93,35.29,5.71,83.78,kidneybeans
25.33,67.48,26.92,23.09,28.95,6.57,74.71,kidneybeans
27.08,58.56,17.38,15.72,34.99,6.4,79.54,kidneybeans
22.92,72.18,19.9,22.08,39.51,6.54,101.94,kidneybeans
15.83,57.16,21.58,23.21,29.22,5.64,101.42,kidneybeans
17.0,70.14,29.62,22.06,32.85,5.78,91.05,kidneybeans
28.1,57.65,18.68,19.38,38.37,5.61,74.51,kidneybeans
34.91,65.33,18.32,23.37,24.97,6.41,91.67,kidneybeans
15.32,78.46,15.9,22.13,37.73,6.98,87.64,kidneybeans
26.15,61.44,32.46,17.49,21.95,6.51,106.02,kidneybeans
30.02,76.27,28.87,21.76,32.97,6.57,98.95,kidneybeans
31.54,79.61,15.8,25.58,35.66,6.98,94.58,kidneybeans
25.9,76.25,15.57,23.0,32.29,6.52,94.35,kidneybeans
27.4,54.98,26.17,20.66,29.91,5.56,118.31,kidneybeans
28.93,74.59,20.65,18.86,32.35,6.8,107.81,kidneybeans
32.18,50.96,26.93,16.03,23.03,6.05,94.85,kidneybeans
17.45,61.8,23.69,17.94,24.31,5.51,93.96,kidneybeans
33.52,76.12,33.47,15.13,25.4,6.26,71.32,kidneybeans
15.52,70.66,20.76,26.84,31.96,6.91,117.13,kidneybeans
31.72,65.98,28.58,17.67,28.84,5.89,85.96,kidneybeans
16.53,61.64,16.08,24.78,24.89,6.24,82.8,kidneybeans
18.89,74.37,34.12,17.02,37.66,5.76,119.97,kidneybeans
15.08,71.29,34.62,18.4,27.48,5.59,105.93,kidneybeans
23.91,64.05,29.78,20.02,28.92,5.62,72.37,kidneybeans
21.69,76.77,24.3,18.89,28.19,6.59,73.09,kidneybeans
18.32,56.9,19.4,24.58,23.64,6.8,71.28,kidneybeans
24.02,55.11,31.25,26.49,34.63,5.71,99.98,kidneybeans
23.05,69.28,29.73,25.5,28.97,5.93,73.58,kidneybeans
30.35,79.16,19.44,16.84,20.33,5.79,116.67,kidneybeans
32.86,57.42,24.02,24.32,39.28,5.54,116.85,kidneybeans
